"","M","Ustar","sd_med","sd_sigma_T"
"82",5,0.81,1.6628609601854,0.204382641050661
"83",5,0.82,1.66338405007863,0.203374987730922
"84",5,0.83,1.66393215103312,0.202347612333185
"85",5,0.84,1.66450575113909,0.201296424932929
"86",5,0.85,1.66510534104457,0.200219534871524
"87",5,0.86,1.66573141517081,0.199113480243759
"88",5,0.87,1.66638447324733,0.19801156707944
"89",5,0.88,1.66706502228466,0.196889470597545
"90",5,0.89,1.66777357915983,0.195741237016832
"91",5,0.9,1.66851067408232,0.194580559807982
"92",5,0.91,1.66927685536519,0.193412187279693
"93",5,0.92,1.67007269620317,0.19221193110511
"94",5,0.93,1.67089880467681,0.191011900743452
"95",5,0.94,1.67175583923543,0.189790020352795
"96",5,0.95,1.67264453415432,0.188563317091823
"97",5,0.96,1.673565744891,0.187343242211666
"98",5,0.97,1.67452053850096,0.186093248236894
"99",5,0.98,1.6755104074533,0.184851479772121
"100",5,0.99,1.67653795499122,0.183563248324937
"101",5,1,1.67761327869323,0.182288478448942
"102",5.1,0,1.59067254630862,0.182216319264384
"103",5.1,0.01,1.57121067670061,0.212044572601225
"104",5.1,0.02,1.56927602705255,0.217062651287359
"105",5.1,0.03,1.56844194493749,0.219814197648852
"106",5.1,0.04,1.56804287195845,0.221562542927989
"107",5.1,0.05,1.56786285692139,0.222741391915641
"108",5.1,0.06,1.56780545630957,0.223565587439676
"109",5.1,0.07,1.56782001053154,0.224152654558327
"110",5.1,0.08,1.56787715349002,0.224570303486157
"111",5.1,0.09,1.56795872221745,0.224866819612467
"112",5.1,0.1,1.56805297736874,0.225082952556563
"113",5.1,0.11,1.56815210417376,0.225237165537384
"114",5.1,0.12,1.56825080532991,0.225344871906704
"115",5.1,0.13,1.56834546166977,0.225419266710177
"116",5.1,0.14,1.56843360780998,0.225470127899032
"117",5.1,0.15,1.56851359193055,0.225503501385666
"118",5.1,0.16,1.56858434794562,0.225525064279088
"119",5.1,0.17,1.56864523881325,0.225538004188914
"120",5.1,0.18,1.56869594628713,0.225545389352109
"121",5.1,0.19,1.56873639180581,0.225549113894966
"122",5.1,0.2,1.56876667874833,0.225550750972033
"123",5.1,0.21,1.56878704965266,0.225551308355049
"124",5.1,0.22,1.56879785410246,0.225551426693565
"125",5.1,0.23,1.56879952434303,0.225551433308586
"126",5.1,0.24,1.5687925565774,0.225551423190979
"127",5.1,0.25,1.56877749649062,0.225551295338111
"128",5.1,0.26,1.56875492795805,0.225550781520507
