"","M","Ustar","sd_med","sd_sigma_T"
"83",5,0.82,0.313515017533612,0.0583544119758893
"84",5,0.83,0.314315621137481,0.0579311086514012
"85",5,0.84,0.315174699968087,0.0575318748606655
"86",5,0.85,0.316095589572847,0.057159898152264
"87",5,0.86,0.317081968715911,0.0568268178332868
"88",5,0.87,0.318137946198432,0.0565368825155894
"89",5,0.88,0.319268177733171,0.0562884106604736
"90",5,0.89,0.320478026330486,0.0560815636151052
"91",5,0.9,0.32177378746075,0.0559141604255267
"92",5,0.91,0.323163013858575,0.0557966790415181
"93",5,0.92,0.324654999679096,0.0557309978311073
"94",5,0.93,0.326261531766898,0.0557204664698528
"95",5,0.94,0.327998115438913,0.0557509089858399
"96",5,0.95,0.329886107697852,0.0558526197082677
"97",5,0.96,0.331956762673253,0.0560078393002326
"98",5,0.97,0.334259888288816,0.0562117261969471
"99",5,0.98,0.336886133368368,0.0564844791510557
"100",5,0.99,0.340047108385602,0.0568010295118344
"101",5,1,0.345204102059744,0.0571112878937378
"102",5.1,0,0.328168363433578,0.0567241508579404
"103",5.1,0.01,0.309175877078985,0.059866101887417
"104",5.1,0.02,0.304230040033238,0.0611287299230088
"105",5.1,0.03,0.300979387866027,0.0620771981291958
"106",5.1,0.04,0.298567597360956,0.0628571629436016
"107",5.1,0.05,0.296678204803225,0.06353010380804
"108",5.1,0.06,0.2951526505439,0.0641533783359986
"109",5.1,0.07,0.293897745564853,0.0647240336046613
"110",5.1,0.08,0.292852933532257,0.0652560967700061
"111",5.1,0.09,0.291976037408217,0.0657624753550835
"112",5.1,0.1,0.291236154699944,0.0662397308382407
"113",5.1,0.11,0.290609757215062,0.0667010824650409
"114",5.1,0.12,0.290078388194115,0.0671439905517532
"115",5.1,0.13,0.289627222551829,0.0675695262446688
"116",5.1,0.14,0.289244124100128,0.0679805279974352
"117",5.1,0.15,0.288919004090821,0.0683762167393639
"118",5.1,0.16,0.288643370441432,0.0687547536688758
"119",5.1,0.17,0.288410002076274,0.0691208749672926
"120",5.1,0.18,0.288212707948219,0.0694710608127752
"121",5.1,0.19,0.288046144939942,0.0698067222213588
"122",5.1,0.2,0.287905677685195,0.0701269025304612
"123",5.1,0.21,0.287787268868295,0.0704325245133548
"124",5.1,0.22,0.287687392102328,0.0707228085178336
"125",5.1,0.23,0.287602961818612,0.0709980394471628
"126",5.1,0.24,0.287531276170134,0.0712573043319815
"127",5.1,0.25,0.287469970030423,0.0715014869187499
"128",5.1,0.26,0.287416975924102,0.0717301616517829
"129",5.1,0.27,0.287370491262345,0.0719430779166943
"130",5.1,0.28,0.287328950644315,0.0721401403257659
"131",5.1,0.29,0.287291002269705,0.0723212519992265
"132",5.1,0.3,0.287255487718317,0.0724863736968512
"133",5.1,0.31,0.287221424510796,0.0726352503352261
"134",5.1,0.32,0.287187990984815,0.0727678138808756
"135",5.1,0.33,0.287154513113107,0.07288388833602
"136",5.1,0.34,0.287120452961127,0.072983338117605
"137",5.1,0.35,0.287085398537882,0.0730660077373301
"138",5.1,0.36,0.287049054837439,0.0731317528843424
"139",5.1,0.37,0.287011235903525,0.0731803961890666
"140",5.1,0.38,0.286971857777645,0.0732117565932872
"141",5.1,0.39,0.286930932213652,0.0732256467206639
"142",5.1,0.4,0.286888561060081,0.0732218754247931
"143",5.1,0.41,0.28684493122651,0.0732002334845525
"144",5.1,0.42,0.286800310162575,0.073160512548474
"145",5.1,0.43,0.286755041788484,0.073102505298059
"146",5.1,0.44,0.286709542824419,0.0730259634914081
"147",5.1,0.45,0.286664299473374,0.0729306798606673
"148",5.1,0.46,0.286619864418078,0.0728164324205295
"149",5.1,0.47,0.28657685409779,0.0726830354554284
"150",5.1,0.48,0.286535946235251,0.0725304353338038
"151",5.1,0.49,0.286497877587926,0.0723583437614558
"152",5.1,0.5,0.2864634419011,0.0721666638307415
"153",5.1,0.51,0.286433488043405,0.0719554881986678
"154",5.1,0.52,0.286408918308136,0.071724305949813
"155",5.1,0.53,0.286390686866201,0.0714734562545431
"156",5.1,0.54,0.286379798358969,0.0712026276242507
"157",5.1,0.55,0.286377306621542,0.0709120396186409
"158",5.1,0.56,0.286384313529211,0.0706016888337761
"159",5.1,0.57,0.286401967962134,0.0702711379538999
"160",5.1,0.58,0.286431464885588,0.0699231609783441
"161",5.1,0.59,0.286474044545601,0.0695566300518858
"162",5.1,0.6,0.28653099178244,0.069170504934167
"163",5.1,0.61,0.286603635467313,0.0687680567177718
"164",5.1,0.62,0.286693348070956,0.0683485412266513
"165",5.1,0.63,0.286801545376426,0.0679133354025431
"166",5.1,0.64,0.28692968635277,0.06746224577007
"167",5.1,0.65,0.287079273211166,0.0669950501769904
"168",5.1,0.66,0.287251851671076,0.0665137643066172
"169",5.1,0.67,0.287449011470904,0.0660194665535411
"170",5.1,0.68,0.287672387166123,0.0655149408940912
"171",5.1,0.69,0.287923659267994,0.0650016949796847
"172",5.1,0.7,0.28820455578849,0.0644809417701994
"173",5.1,0.71,0.288516854272391,0.0639538487920201
"174",5.1,0.72,0.288862384416607,0.0634205832960301
"175",5.1,0.73,0.289243031400699,0.0628860417276579
"176",5.1,0.74,0.289660740082832,0.0623505660890346
"177",5.1,0.75,0.290117520253994,0.061820081559171
"178",5.1,0.76,0.290615453193061,0.0612907892975348
"179",5.1,0.77,0.291156699830089,0.0607698580628315
"180",5.1,0.78,0.291743510910435,0.0602581632112312
"181",5.1,0.79,0.292378239665848,0.0597555111494381
"182",5.1,0.8,0.293063357651677,0.0592686561003052
"183",5.1,0.81,0.293801474618355,0.0588012552744383
"184",5.1,0.82,0.294595363575063,0.0583544119758893
"185",5.1,0.83,0.29544799261132,0.0579311086514012
"186",5.1,0.84,0.29636256562652,0.0575318748606655
"187",5.1,0.85,0.297342574970297,0.057159898152264
"188",5.1,0.86,0.298391870268271,0.0568268178332868
"189",5.1,0.87,0.29951474964892,0.0565368825155894
"190",5.1,0.88,0.300716082630635,0.0562884106604736
"191",5.1,0.89,0.302001478845623,0.0560815636151052
"192",5.1,0.9,0.303377525004792,0.0559141604255267
"193",5.1,0.91,0.304852126840651,0.0557966790415181
"194",5.1,0.92,0.306435018952118,0.0557309978311073
"195",5.1,0.93,0.308138556128504,0.0557204664698528
"196",5.1,0.94,0.309979004785058,0.0557509089858399
"197",5.1,0.95,0.311978790951998,0.0558526197082677
"198",5.1,0.96,0.314170764425204,0.0560078393002326
"199",5.1,0.97,0.316607325925088,0.0562117261969471
"200",5.1,0.98,0.31938393287179,0.0564844791510557
"201",5.1,0.99,0.322723633455099,0.0568010295118344
"202",5.1,1,0.328168363433578,0.0571112878937378
"203",5.2,0,0.311703587682476,0.0567241508579404
"204",5.2,0.01,0.291534031017905,0.059866101887417
"205",5.2,0.02,0.286259282828703,0.0611287299230088
"206",5.2,0.03,0.282788325990611,0.0620771981291958
"207",5.2,0.04,0.280211157891781,0.0628571629436016
"208",5.2,0.05,0.278191224356746,0.06353010380804
"209",5.2,0.06,0.27655978296577,0.0641533783359986
"210",5.2,0.07,0.275217589768439,0.0647240336046613
"211",5.2,0.08,0.274100106055399,0.0652560967700061
"212",5.2,0.09,0.273162346659926,0.0657624753550835
"213",5.2,0.1,0.272371325985726,0.0662397308382407
"214",5.2,0.11,0.27170191043006,0.0667010824650409
"215",5.2,0.12,0.271134369048546,0.0671439905517532
"216",5.2,0.13,0.270652841926817,0.0675695262446688
"217",5.2,0.14,0.270244337018463,0.0679805279974352
"218",5.2,0.15,0.269898047417014,0.0683762167393639
"219",5.2,0.16,0.269604871423132,0.0687547536688758
"220",5.2,0.17,0.269357065686209,0.0691208749672926
"221",5.2,0.18,0.269147988423565,0.0694710608127752
"222",5.2,0.19,0.268971905280625,0.0698067222213588
"223",5.2,0.2,0.26882383979745,0.0701269025304612
"224",5.2,0.21,0.26869945631435,0.0704325245133548
"225",5.2,0.22,0.268594966916016,0.0707228085178336
"226",5.2,0.23,0.268507056493419,0.0709980394471628
"227",5.2,0.24,0.268432821672253,0.0712573043319815
"228",5.2,0.25,0.268369720503692,0.0715014869187499
"229",5.2,0.26,0.268315530615741,0.0717301616517829
"230",5.2,0.27,0.268268314094344,0.0719430779166943
"231",5.2,0.28,0.268226387775722,0.0721401403257659
"232",5.2,0.29,0.268188297933457,0.0723212519992265
"233",5.2,0.3,0.268152798567852,0.0724863736968512
"234",5.2,0.31,0.268118832673344,0.0726352503352261
"235",5.2,0.32,0.268085515987463,0.0727678138808756
"236",5.2,0.33,0.268052122822798,0.07288388833602
"237",5.2,0.34,0.268018073659286,0.072983338117605
"238",5.2,0.35,0.267982924233499,0.0730660077373301
"239",5.2,0.36,0.267946355908315,0.0731317528843424
"240",5.2,0.37,0.267908167143548,0.0731803961890666
"241",5.2,0.38,0.267868265917877,0.0732117565932872
"242",5.2,0.39,0.267826662976405,0.0732256467206639
"243",5.2,0.4,0.267783465797719,0.0732218754247931
