"","M","Ustar","sd_med","sd_sigma_T"
"184",5.1,0.82,0.902001512774139,0.557712024595191
"185",5.1,0.83,0.90198348704079,0.556435041574576
"186",5.1,0.84,0.901966207985729,0.555108155494966
"187",5.1,0.85,0.901949918465736,0.553730753135113
"188",5.1,0.86,0.90193492786432,0.552302279167794
"189",5.1,0.87,0.901921634711824,0.550822240419857
"190",5.1,0.88,0.901910557611737,0.549290209976463
"191",5.1,0.89,0.901902378187471,0.547705831107829
"192",5.1,0.9,0.90189800187632,0.546068820997699
"193",5.1,0.91,0.901898646037418,0.544378974253882
"194",5.1,0.92,0.901905971408187,0.542636166182552
"195",5.1,0.93,0.901922285465702,0.540840355809534
"196",5.1,0.94,0.901950871790314,0.53899158863353
"197",5.1,0.95,0.901996556233165,0.537089999098062
"198",5.1,0.96,0.902066761243526,0.535135812770984
"199",5.1,0.97,0.902173704717297,0.533129348222448
"200",5.1,0.98,0.902339857906567,0.531071018594446
"201",5.1,0.99,0.902616488916565,0.528961332857276
"202",5.1,1,0.903289240523159,0.52680089675053
"203",5.2,0,0.851873874426717,0.506467290603582
"204",5.2,0.01,0.850689909672483,0.508178055110702
"205",5.2,0.02,0.850389979685059,0.509837884267165
"206",5.2,0.03,0.850245980422439,0.511446775192022
"207",5.2,0.04,0.850171413425651,0.513004810926159
"208",5.2,0.05,0.850134076807906,0.514512157173934
"209",5.2,0.06,0.850118613443771,0.515969058785876
"210",5.2,0.07,0.850116719179002,0.517375836001073
"211",5.2,0.08,0.850123551514156,0.518732880469475
"212",5.2,0.09,0.850136143892544,0.520040651075658
"213",5.2,0.1,0.850152616514515,0.521299669586743
"214",5.2,0.11,0.850171749240183,0.522510516148001
"215",5.2,0.12,0.850192735775084,0.52367382465031
"216",5.2,0.13,0.850215035452383,0.524790277993982
"217",5.2,0.14,0.850238280613179,0.525860603273579
"218",5.2,0.15,0.850262217119575,0.526885566908211
"219",5.2,0.16,0.850286665347465,0.527865969741409
"220",5.2,0.17,0.850311494222769,0.528802642134097
"221",5.2,0.18,0.850336603772419,0.529696439073351
"222",5.2,0.19,0.850361913347663,0.530548235318664
"223",5.2,0.2,0.850387353689121,0.531358920606286
"224",5.2,0.21,0.850412861628347,0.5321293949309
"225",5.2,0.22,0.850438376617004,0.532860563922523
"226",5.2,0.23,0.850463838531825,0.533553334335003
"227",5.2,0.24,0.850489186373444,0.534208609660962
"228",5.2,0.25,0.850514357591591,0.534827285886447
"229",5.2,0.26,0.850539287847298,0.535410247396949
"230",5.2,0.27,0.850563911076917,0.535958363044912
"231",5.2,0.28,0.850588159760796,0.53647248238727
"232",5.2,0.29,0.850611965326347,0.53695343210013
"233",5.2,0.3,0.850635258634578,0.537402012576264
"234",5.2,0.31,0.85065797051306,0.537818994709797
"235",5.2,0.32,0.850680032308452,0.538205116871261
"236",5.2,0.33,0.85070137643909,0.538561082075084
"237",5.2,0.34,0.850721936933639,0.538887555340623
"238",5.2,0.35,0.85074164994579,0.539185161247003
"239",5.2,0.36,0.850760454237997,0.539454481681291
"240",5.2,0.37,0.85077829162945,0.539696053778978
"241",5.2,0.38,0.850795107405123,0.539910368055258
"242",5.2,0.39,0.850810850683964,0.540097866725264
"243",5.2,0.4,0.850825474745184,0.540258942211212
"244",5.2,0.41,0.850838937312277,0.540393935834294
"245",5.2,0.42,0.850851200794901,0.540503136689145
"246",5.2,0.43,0.850862232489073,0.540586780698828
"247",5.2,0.44,0.850872004736446,0.54064504984842
"248",5.2,0.45,0.850880495043558,0.540678071595541
"249",5.2,0.46,0.850887686162122,0.540685918456473
"250",5.2,0.47,0.850893566131504,0.540668607766846
"251",5.2,0.48,0.850898128284614,0.540626101616258
"252",5.2,0.49,0.850901371218466,0.54055830695658
"253",5.2,0.5,0.850903298730757,0.540465075884121
"254",5.2,0.51,0.850903919723817,0.540346206096188
"255",5.2,0.52,0.850903248077368,0.54020144152298
"256",5.2,0.53,0.850901302491578,0.540030473136064
"257",5.2,0.54,0.850898106302003,0.539832939934984
"258",5.2,0.55,0.850893687268087,0.539608430113776
"259",5.2,0.56,0.850888077337069,0.539356482409312
"260",5.2,0.57,0.850881312385298,0.539076587633464
"261",5.2,0.58,0.850873431939184,0.538768190391067
"262",5.2,0.59,0.850864478878327,0.538430690985501
"263",5.2,0.6,0.850854499123677,0.538063447513509
"264",5.2,0.61,0.850843541314062,0.537665778150475
"265",5.2,0.62,0.850831656474949,0.537236963626916
"266",5.2,0.63,0.850818897683978,0.536776249896335
"267",5.2,0.64,0.850805319738674,0.53628285099384
"268",5.2,0.65,0.850790978832749,0.535755952084058
"269",5.2,0.66,0.850775932248725,0.535194712695907
"270",5.2,0.67,0.850760238076197,0.534598270140654
"271",5.2,0.68,0.85074395496704,0.533965743108499
"272",5.2,0.69,0.85072714194137,0.533296235437578
"273",5.2,0.7,0.850709858261187,0.532588840047903
"274",5.2,0.71,0.850692163392546,0.531842643031276
"275",5.2,0.72,0.850674117082123,0.531056727886676
"276",5.2,0.73,0.850655779580354,0.530230179889087
"277",5.2,0.74,0.850637212051498,0.529362090578164
"278",5.2,0.75,0.850618477221468,0.52845156235157
"279",5.2,0.76,0.850599640327968,0.527497713146332
"280",5.2,0.77,0.850580770455402,0.526499681190101
"281",5.2,0.78,0.850561942360793,0.525456629802873
"282",5.2,0.79,0.850543238928707,0.524367752228456
"283",5.2,0.8,0.850524754436126,0.523232276473939
"284",5.2,0.81,0.850506598866964,0.522049470134416
"285",5.2,0.82,0.850488903597368,0.520818645179573
"286",5.2,0.83,0.850471828887447,0.519539162678133
"287",5.2,0.84,0.8504555737788,0.518210437435919
"288",5.2,0.85,0.85044038923529,0.516831942523183
"289",5.2,0.86,0.850426595717947,0.51540321366707
"290",5.2,0.87,0.850414606921263,0.513923853485479
"291",5.2,0.88,0.850404962233241,0.512393535539309
"292",5.2,0.89,0.850398371819912,0.510812008180993
"293",5.2,0.9,0.850395780452881,0.509179098178409
"294",5.2,0.91,0.85039846001964,0.507494714094672
"295",5.2,0.92,0.850408147549674,0.505758849405935
"296",5.2,0.93,0.850427258729503,0.503971585341148
"297",5.2,0.94,0.850459233676066,0.502133093429726
"298",5.2,0.95,0.850509131213901,0.500243637745215
"299",5.2,0.96,0.850584735282923,0.498303576835288
